Category,Item,Serving Size,Calories,Calories from Fat,Total Fat,Total Fat (% Daily Value),Saturated Fat,Saturated Fat (% Daily Value),Trans Fat,Cholesterol,Cholesterol (% Daily Value),Sodium,Sodium (% Daily Value),Carbohydrates,Carbohydrates (% Daily Value),Dietary Fiber,Dietary Fiber (% Daily Value),Sugars,Protein,Vitamin A (% Daily Value),Vitamin C (% Daily Value),Calcium (% Daily Value),Iron (% Daily Value),Health_Status
Desserts,Baked Apple Pie,2.7 oz (77 g),250.0,110.0,13.0,19.0,7.0,35.0,0.9464285714285714,66.13425925925925,22.13888888888889,170.0,7.0,32.0,11.0,4.0,15.0,13.0,2.0,4.0,25.0,2.0,6.0,Healthy
Desserts,Chocolate Chip Cookie,1 cookie (33 g),160.0,70.0,8.0,12.0,3.5,19.0,0.9464285714285714,10.0,3.0,90.0,4.0,21.0,7.0,1.0,3.0,15.0,2.0,2.0,22.642857142857142,2.0,8.0,Healthy
Desserts,Oatmeal Raisin Cookie,1 cookie (33 g),150.0,50.0,6.0,9.0,2.5,13.0,0.9464285714285714,10.0,3.0,135.0,6.0,22.0,7.0,1.0,3.0,13.0,2.0,2.0,22.642857142857142,2.0,6.0,Healthy
Desserts,Kids Ice Cream Cone,1 oz (29 g),45.0,10.0,1.5,2.0,1.0,4.0,0.9464285714285714,5.0,2.0,20.0,1.0,7.0,2.0,2.2198952879581153,8.890052356020943,6.0,1.0,2.0,22.642857142857142,4.0,11.297752808988765,Healthy
Desserts,Hot Fudge Sundae,6.3 oz (179 g),330.0,80.0,9.0,14.0,7.0,34.0,0.9464285714285714,25.0,8.0,170.0,7.0,53.0,18.0,1.0,3.0,48.0,8.0,8.0,22.642857142857142,25.0,8.0,Healthy
Desserts,Hot Caramel Sundae,6.4 oz (182 g),340.0,70.0,8.0,12.0,5.0,24.0,0.9464285714285714,30.0,10.0,150.0,6.0,60.0,20.0,2.2198952879581153,8.890052356020943,43.0,7.0,10.0,22.642857142857142,25.0,11.297752808988765,Healthy
Desserts,Strawberry Sundae,6.3 oz (178 g),280.0,60.0,6.0,10.0,4.0,20.0,0.9464285714285714,25.0,8.0,85.0,4.0,49.0,16.0,2.2198952879581153,8.890052356020943,45.0,6.0,8.0,4.0,20.0,11.297752808988765,Healthy
Beverages,Coca-Cola Classic (Small),16 fl oz cup,140.0,160.4126213592233,17.454976303317537,26.881516587677726,7.81,38.955,0.9464285714285714,66.13425925925925,22.13888888888889,513.5258964143426,22.4,39.0,13.0,2.2198952879581153,8.890052356020943,39.0,14.88412017167382,17.63131313131313,22.642857142857142,24.34375,11.297752808988765,Healthy
Beverages,Coca-Cola Classic (Medium),21 fl oz cup,200.0,160.4126213592233,17.454976303317537,26.881516587677726,7.81,38.955,0.9464285714285714,66.13425925925925,22.13888888888889,5.0,22.4,55.0,18.0,2.2198952879581153,8.890052356020943,55.0,14.88412017167382,17.63131313131313,22.642857142857142,24.34375,11.297752808988765,Healthy
Beverages,Coca-Cola Classic (Large),30 fl oz cup,280.0,160.4126213592233,17.454976303317537,26.881516587677726,7.81,38.955,0.9464285714285714,66.13425925925925,22.13888888888889,5.0,22.4,76.0,25.0,2.2198952879581153,8.890052356020943,76.0,14.88412017167382,17.63131313131313,22.642857142857142,24.34375,11.297752808988765,Healthy
